TIPO CUERPO DE AGUA,TOX_V_15_UT (NORMAL),E_COLI,COLI_FEC,pH_CAMPO,TEMP_AGUA,COT,DBO_TOT,DQO_TOT,N_TOT,P_TOT,COLOR_VER,ABS_UV,SST,TURBIEDAD,AS_TOT,HG_TOT,PB_TOT,DUR_TOT,CONDUC_CAMPO,OD_%
LÓTICO,1,0,0,7.97,25.4,1,1,0,1,1,375,0.0323,1,575,1,1,1,155.25,1162,86.9
LÓTICO,1,0,0,7.91,24.1,1,1,0,1,1,125,0.302,1,28,1,0,1,173.964,775,105.5
LÓTICO,1,0,0,7.71,22.4,1,0,0,1,1,312.5,0.452,1,30,1,0,1,170.68,1023,12
LÓTICO,1,0,0,7.93,20.8,1,0,0,1,1,100,0.31,1,18,0,1,1,161.854,930,66.7
LÓTICO,1,0,0,7.88,16.2,1,0,0,1,1,150,0.504,1,20,0,0,1,320.41,1490,20.3
LÓTICO,1,1,0,8.1,16.1,1,1,0,1,1,125,0.425,1,8,0,1,1,275.4,1610,46.9
LÓTICO,1,1,0,8.2,23.4,1,0,0,1,1,50,0.344,1,17,0,0,1,252.9,1536,101
LÓTICO,1,0,0,8,24.1,1,0,0,1,1,75,0.207,1,19,1,0,1,168.9,838,71.8
LÓTICO,1,0,0,8.1,23.1,1,1,0,1,1,70,0.091,1,24,1,1,1,143.1,909,98.7
LÓTICO,1,0,0,8,20.8,1,1,1,1,1,70,0.21,1,17,1,0,1,150,804,46.5
LÓTICO,1,0,0,8.1,16.7,0,1,0,0,1,400,0.085,1,20,1,1,0,265.47,1289,50.1
LÓTICO,1,0,0,8.1,22,1,0,0,1,1,75,0.344,1,9.1,1,1,1,178.82,1090,39.9
LÓTICO,1,0,0,8,21.7,1,1,0,1,1,100,0.481,1,8.7,0,1,1,238.13,1302,60.3
LÓTICO,1,0,0,8.1,22.7,1,1,0,1,1,100,0.345,0,68,1,1,1,106.15,497,96.2
LÓTICO,1,0,0,7.3,22.8,1,0,0,1,1,250,0.48067,1,10,1,0,1,172.22,828,62.6
LÓTICO,1,0,0,8.1,23.2,1,1,0,1,1,70,0.28635,1,19,1,1,1,120.85,718,75.4
LÓTICO,1,1,0,8,15.6,1,1,0,1,1,90,0.26572,1,33,1,1,1,217.58,1017,72.3
LÓTICO,1,0,0,8.2,19.9,1,1,0,1,1,125,0.31246,1,12,1,1,1,206.4,1116,
LÓTICO,1,0,0,8.1,22.9,1,1,0,1,1,125,0.34983,1,20,0,1,1,238.47,1385,22.9
LÓTICO,1,0,0,8.2,22.9,1,1,0,1,1,125,0.2288,1,16,0,0,1,164.85,1012,97.2
LÓTICO,1,0,0,8,24.2,1,0,0,1,1,60,0.29877,1,13,1,1,1,113,622,92.3
LÓTICO,1,0,0,8,21.4,1,1,0,1,1,75,0.2444,1,7.6,1,1,1,132.29,801,82.5
LÓTICO,1,0,0,7.8,18.7,1,1,0,1,1,75,0.277,1,11,0,1,1,236.53,1224,62.9
